Treatments,id,Nymph duration,Longevity,Productivity,Lifeperiod,immediately death
AE6,26,NA,10,9,17,0
AE6,27,NA,3,5,10,1
AE6,28,NA,2,2,9,1
AE6,29,NA,1,0,8,1
AE6,30,NA,4,0,11,1
AE6,31,NA,1,0,8,1
AE6,32,NA,20,16,27,0
AE6,33,NA,2,1,9,1
AE6,34,NA,3,2,10,1
AE6,35,NA,19,35,26,0
AE6,36,NA,11,23,18,0
AE6,37,NA,13,21,20,0
AE6,38,NA,8,14,15,0
AE6,39,NA,6,8,13,1
AL6,1,NA,2,1,9,1
AL6,2,NA,15,29,22,0
AL6,3,NA,18,46,25,0
AL6,4,NA,16,22,23,0
AL6,5,NA,3,5,10,1
AL6,6,NA,20,38,27,0
AL6,7,NA,3,3,10,1
AL6,8,NA,3,4,10,1
AL6,9,NA,15,34,22,0
AL6,10,NA,2,2,9,1
AL6,11,NA,4,1,11,1
AL6,12,NA,6,16,13,1
AL6,13,NA,6,7,13,1
AL6,14,NA,6,14,13,1
AL6,15,NA,4,7,11,1
AL6,16,NA,6,5,13,1
AL6,17,NA,7,4,14,1
AL6,18,NA,22,28,29,0
AL6,19,NA,3,3,10,1
AL6,20,NA,3,6,10,1
AL6,21,NA,3,2,10,1
AL6,22,NA,4,4,11,1
AL6,23,NA,9,18,16,0
AL6,24,NA,16,36,23,0
AL6,25,NA,23,38,30,0
AL6,26,NA,27,44,34,0
AL6,27,NA,13,20,20,0
AL6,28,NA,16,35,23,0
AL6,29,NA,13,14,20,0
AL6,30,NA,22,29,29,0
AL6,31,NA,6,8,13,1
AL6,32,NA,22,15,29,0
AL6,33,NA,2,1,9,1
AL6,34,NA,11,19,18,0
AL5,1,NA,5,8,12,1
AL5,2,NA,5,8,12,1
AL5,3,NA,10,19,17,0
AL5,4,NA,6,13,13,1
AL5,5,NA,26,33,33,0
AL5,6,NA,4,5,11,1
AL5,7,NA,5,8,12,1
AL5,8,NA,16,31,23,0
AL5,9,NA,5,8,12,1
AL5,10,NA,5,5,12,1
AL5,11,NA,8,10,15,1
AL5,12,NA,21,24,28,0
AL5,13,NA,5,16,12,1
AL5,14,NA,6,9,13,1
AL5,15,NA,5,14,12,1
AL5,16,NA,17,36,24,0
AL5,17,NA,24,20,31,0
AL5,18,NA,4,9,11,1
AL5,19,NA,4,8,11,1
AL5,20,NA,6,6,13,1
AL5,21,NA,5,5,12,1
AL5,22,NA,4,10,11,1
AL5,23,NA,6,12,13,1
AL5,24,NA,19,43,26,0
AL5,25,NA,15,23,22,0
AL5,26,NA,20,23,27,0
AL5,27,NA,10,12,17,0
AL5,28,NA,26,41,33,0
AL5,29,NA,20,27,27,0
AL5,30,NA,5,6,12,1
AL5,31,NA,14,30,21,0
AL5,32,NA,12,14,19,0
AL4,1,NA,15,17,22,0
AL4,2,NA,8,17,15,1
AL4,3,NA,4,4,11,1
AL4,4,NA,6,6,13,1
AL4,5,NA,27,70,34,0
AL4,6,NA,5,10,12,1
AL4,7,NA,4,9,11,1
AL4,8,NA,2,2,9,1
AL4,9,NA,22,47,29,0
AL4,10,NA,5,7,12,1
AL4,11,NA,3,4,10,1
AL4,12,NA,3,1,10,1
AL4,13,NA,23,41,30,0
AL4,14,NA,16,29,23,0
AL4,15,NA,18,43,25,0
AL4,16,NA,5,7,12,1
AL4,17,NA,6,12,13,1
AL4,18,NA,18,38,25,0
AL4,19,NA,5,8,12,1
AL4,20,NA,13,23,20,0
AL4,21,NA,27,45,34,0
AL4,22,NA,4,7,11,1
AL4,23,NA,6,16,13,1
AL4,24,NA,21,17,28,0
AL4,25,NA,20,32,27,0
AL4,26,NA,14,24,21,0
AL4,27,NA,26,53,33,0
AL4,28,NA,8,8,15,1
AL4,29,NA,12,19,19,0
AL4,30,NA,20,34,27,0
AL4,31,NA,26,52,33,0
AL3,1,NA,19,50,26,0
AL3,2,NA,17,41,24,0
AL3,3,NA,4,3,11,1
AL3,4,NA,7,9,14,1
AL3,5,NA,9,11,16,0
AL3,6,NA,13,26,20,0
AL3,7,NA,10,29,17,0
AL3,8,NA,17,40,24,0
AL3,9,NA,11,21,18,0
AL3,10,NA,14,28,21,0
AL3,11,NA,5,6,12,1
AL3,12,NA,26,36,33,0
AL3,13,NA,22,33,29,0
AL3,14,NA,16,30,23,0
AL3,15,NA,13,28,20,0
AL3,16,NA,10,14,17,0
AL3,17,NA,17,40,24,0
AL3,18,NA,6,15,13,1
AL3,19,NA,18,32,25,0
AL3,20,NA,7,14,14,1
AL3,21,NA,22,43,29,0
AL3,22,NA,19,22,26,0
AL3,23,NA,5,4,12,1
AL3,24,NA,10,14,17,0
AL3,25,NA,5,9,12,1
AL3,26,NA,10,22,17,0
AL3,27,NA,3,1,10,1
AL3,28,NA,18,48,25,0
AL3,29,NA,5,9,12,1
AL3,30,NA,20,24,27,0
AL3,31,NA,4,6,11,1
AL3,32,NA,28,63,35,0
AL3,33,NA,15,31,22,0
AL3,34,NA,32,59,39,0
AL2,1,NA,31,67,38,0
AL2,2,NA,15,37,22,0
AL2,3,NA,21,55,28,0
AL2,4,NA,6,8,13,1
AL2,5,NA,24,45,31,0
AL2,6,NA,12,27,19,0
AL2,7,NA,8,16,15,1
AL2,8,NA,7,10,14,1
AL2,9,NA,35,68,42,0
AL2,10,NA,16,29,23,0
AL2,11,NA,14,24,21,0
AL2,12,NA,8,16,15,1
AL2,13,NA,30,39,37,0
AL2,14,NA,7,12,14,1
AL2,15,NA,20,45,27,0
AL2,16,NA,10,17,17,0
AL2,17,NA,11,18,18,0
AL2,18,NA,23,53,30,0
AL2,19,NA,12,28,19,0
AL2,20,NA,7,5,14,1
AL2,21,NA,10,23,17,0
AL2,22,NA,30,59,37,0
AL2,23,NA,6,10,13,1
AL2,24,NA,19,29,26,0
AL2,25,NA,6,13,13,1
AL2,26,NA,18,52,25,0
AL2,27,NA,32,55,39,0
AL2,28,NA,18,32,25,0
AL2,29,NA,7,9,14,1
AL2,30,NA,10,19,17,0
AL1,1,NA,8,15,15,1
AL1,2,NA,25,38,32,0
AL1,3,NA,9,16,16,0
AL1,4,NA,19,24,26,0
AL1,5,NA,7,6,14,1
AL1,6,NA,7,18,14,1
AL1,7,NA,25,33,32,0
AL1,8,NA,6,8,13,1
AL1,9,NA,7,10,14,1
AL1,10,NA,7,12,14,1
AL1,11,NA,17,27,24,0
AL1,12,NA,5,8,12,1
AL1,13,NA,26,44,33,0
AL1,14,NA,31,33,38,0
AL1,15,NA,24,49,31,0
AL1,16,NA,10,25,17,0
AL1,17,NA,14,29,21,0
AL1,18,NA,22,39,29,0
AL1,19,NA,28,41,35,0
AL1,20,NA,17,47,24,0
AL1,21,NA,19,35,26,0
AL1,22,NA,31,65,38,0
AL1,23,NA,14,24,21,0
AL1,24,NA,21,24,28,0
AL1,25,NA,7,8,14,1
AL1,26,NA,24,43,31,0
AL1,27,NA,12,10,19,0
AL1,28,NA,25,57,32,0
AL1,29,NA,25,38,32,0
AL1,30,NA,27,52,34,0
AL1,31,NA,10,13,17,0
AL1,32,NA,22,31,29,0
AL1,33,NA,14,40,21,0
CK,1,NA,26.5,19,35.5,0
CK,2,NA,22.5,48,30,0
CK,3,NA,14.5,36,22.5,0
CK,4,NA,23.5,56,31.5,0
CK,5,NA,12,22,20.5,0
CK,6,NA,35.5,54,43.5,0
CK,7,NA,6,20,13.5,0
CK,8,NA,23,52,32,0
CK,9,NA,14,34,22.5,0
CK,10,NA,24,57,32.5,0
CK,11,NA,11.5,21,20,0
CK,12,NA,17.5,30,25.5,0
CK,13,NA,12.5,48,19.5,0
CK,14,NA,21,55,28.5,0
CK,15,NA,20.5,49,28.5,0
CK,16,NA,30,76,38,0
CK,17,NA,22,31,29,0
CK,18,NA,17.5,38,25,0
CK,19,NA,19,56,27,0
CK,20,NA,35,67,43,0
CK,21,NA,17.5,48,25,0
CK,22,NA,12.5,17,22,0
CK,23,NA,8,24,14.5,0
CK,24,NA,14.5,30,22,0
CK,25,NA,26,54,34,0
CK,26,NA,10,25,18.5,0
CK,27,NA,14.5,35,23,0
CK,28,NA,26.5,62,34.5,0
CK,29,NA,17,48,25,0
CK,30,NA,26,63,33,0
CK,31,NA,31,62,37.5,0
CK,32,NA,35,59,42.5,0
CK,33,NA,11.5,29,19,0
CK,34,NA,29.5,56,37,0
CK,35,NA,18.5,38,26.5,0
CK,36,NA,8,20,15,0
CK,37,NA,11,21,19.5,0
CK,38,NA,19,42,27,0
CK,39,NA,19.5,46,27,0
CK,40,NA,37.5,77,45,0
CK,41,NA,32.5,72,40,0
CK,42,NA,35,75,43,0
